Learning Rate,Batch Size,Conv Layers,Accuracy
0.1,16,1,0.10000000149011612
0.1,16,2,0.10000000149011612
0.1,16,3,0.10000000149011612
0.1,32,1,0.10000000149011612
0.1,32,2,0.10000000149011612
0.1,32,3,0.10010000318288803
0.1,64,1,0.10000000149011612
0.1,64,2,0.10000000149011612
0.1,64,3,0.10000000149011612
0.01,16,1,0.10000000149011612
0.01,16,2,0.10000000149011612
0.01,16,3,0.10000000149011612
0.01,32,1,0.4713999927043915
0.01,32,2,0.45669999718666077
0.01,32,3,0.10000000149011612
0.01,64,1,0.35850000381469727
0.01,64,2,0.5223000049591064
0.01,64,3,0.46070000529289246
0.001,16,1,0.6277999877929688
0.001,16,2,0.6851000189781189
0.001,16,3,0.70660001039505
0.001,32,1,0.6352999806404114
0.001,32,2,0.6991000175476074
0.001,32,3,0.7128000259399414
0.001,64,1,0.6333000063896179
0.001,64,2,0.6891000270843506
0.001,64,3,0.6865000128746033
